#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
-8953335396870010008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396861608008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396854260008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396846204008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396836871008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396827067008,0,0,0,-0.0273438,-0.03125,-0.00390625
-8953335396819780008,0,0,0,-0.0273438,-0.03125,-0.00390625
-8953335396804272008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396795606008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396785126008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396775301008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396766618008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396760725008,0,0,0,0.0117188,0.0078125,0.0351562
-8953335396750261008,0,0,0,0.0117188,0.0078125,0.0351562
-8953335396742874008,0,0,0,-0.0273438,-0.03125,-0.0429688
-8953335396734661008,0,0,0,0.0117188,-0.03125,0.0351562
-8953335396725788008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396718394008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396712319008,0,0,0,-0.0273438,-0.03125,-0.00390625
-8953335396707083008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396696700008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396691612008,0,0,0,0.0117188,-0.03125,-0.00390625
-8953335396677621008,0,0,0,0.0117188,-0.03125,-0.00390625
-8953335396669743008,0,0,0,0.0507812,0.0078125,0.0351562
-8953335396657496008,0,0,0,-0.0273438,-0.03125,-0.00390625
-8953335396645526008,0,0,0,0.0117188,-0.03125,0.0351562
-8953335396631664008,0,0,0,0.0117188,-0.03125,0.0351562
-8953335396622224008,0,0,0,-0.0273438,0.0078125,-0.0429688
-8953335396613601008,0,0,0,0.0117188,0.0078125,0.0351562
-8953335396600991008,0,0,0,0.0117188,0.0078125,-0.0429688
-8953335396590284008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396580881008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396569871008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396559977008,0,0,0,0.0117188,-0.03125,-0.00390625
-8953335396550404008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396542066008,0,0,0,0.0117188,0.0078125,-0.00390625
-8953335396534999008,0,0,0,0.0117188,-0.03125,-0.00390625
-8953335396526162008,0,0,0,0.0117188,0.0078125,-0.0429688
-8951364006526547008,0,0,0,0.0117188,0.0078125,-0.0429688
-8951364006516020008,0,0,0,-0.0273438,0.0078125,-0.00390625
-8951364006504589008,0,0,0,0.0117188,0.0078125,-0.00390625
-8951364006493213008,0,0,0,0.0117188,0.0078125,-0.00390625
-8951364006482001008,0,0,0,-0.0273438,0.0078125,0.0351562
-8951364006472374008,0,0,0,0.0117188,0.0078125,-0.00390625
-8951364006461017008,0,0,0,0.0117188,0.0078125,0.0351562
-8951364006451439008,0,0,0,0.0117188,0.0078125,0.0351562
-8953335396428752008,0,0,0,0.0117188,0.0078125,0.0351562
-8953335396417014008,0,0,0,0.0117188,-0.03125,0.0351562
-8953335396401534008,0,0,0,0.0507812,0.0078125,0.0351562
-8953335396387312008,0,0,0,0.0117188,0.0078125,0.0351562
-8951299581878438008,0,0,0,0.0117188,0.0078125,0.0351562
-8951299581867930008,0,0,0,0.0117188,0.0078125,-0.00390625
-8951299581859089008,0,0,0,0.0117188,0.0078125,-0.00390625
-8951299581849471008,0,0,0,0.00390625,0.0078125,0.0351562
-8951299581840036008,0,0,0,0.00390625,0.015625,-0.00390625
-8951299581830804008,0,0,0,0.00390625,0.015625,-0.00390625
-8951299581818114008,0,0,0,-0.0351562,0.015625,-0.00390625
-8951299581809012008,0,0.00195312,0.00195312,-0.0351562,0.015625,-0.00390625
-8951299581800601008,0,0.00195312,0.00195312,0.00390625,0.015625,-0.00390625
-8951299581791671008,0,0.00195312,0.00195312,0.00390625,-0.0234375,0.0351562
-8951299581781960008,0,0.00195312,0.00195312,-0.0351562,0.015625,0.0351562
-8953163597578301008,0,0.00195312,0.00195312,-0.0351562,0.015625,0.0351562
-8953163597564838008,0,0.00195312,0.00195312,-0.0273438,0.015625,-0.00390625
-8953163597556419008,0,0.00195312,0.00195312,0.0117188,0.015625,-0.00390625
-8953163597545006008,0,0.00195312,0.00195312,0.0117188,0.015625,0.0351562
-8953163597532064008,0,0.00195312,0.00195312,0.0117188,0.015625,-0.00390625
-8953163597519431008,0,0.00195312,0.00195312,0.0117188,0.015625,-0.00390625
-8953163597506845008,0,0.00195312,0.00195312,0.0117188,0.015625,-0.00390625
-8953163597496262008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8953163597482428008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,-0.00390625
-8953163597473826008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,0.0351562
-8951235157146662008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,0.0351562
-8951235157134715008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,0.0351562
-8953206547115027008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,0.0351562
-8953206547101761008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,-0.0429688
-8953206547093593008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,0.0351562
-8953206547085470008,0.00390625,0.00390625,0.00390625,0.0117188,0.0078125,-0.00390625
-8953206547076364008,0.00390625,0.00390625,0.00390625,0.0117188,-0.03125,0.0351562
-8953099172885066008,0.00390625,0.00390625,0.00390625,0.0117188,-0.03125,0.0351562
-8953099172878962008,0.00390625,0.00390625,0.00390625,0.0507812,0.015625,-0.00390625
-8953099172871666008,0.00390625,0.00390625,0.00390625,0.0507812,0.015625,-0.00390625
-8953099172863961008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,0.0351562
-8953099172857890008,0.00390625,0.00390625,0.00390625,0.0117188,-0.0234375,-0.00390625
-8953099172844407008,0.00390625,0.00390625,0.00390625,0.0117188,-0.0234375,-0.00390625
-8953099172831916008,0.00390625,0.00390625,0.00390625,-0.0273438,-0.0234375,0.0351562
-8953099172823649008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8953099172810978008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8953099172802870008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8953099172793820008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,0.0351562
-8955070562774203008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,0.0351562
-8955070562766696008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955070562756475008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955070562746278008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955070562737613008,0.00390625,0.00390625,0.00390625,-0.0273438,0.015625,-0.0429688
-8955070562725075008,0.00390625,0.00390625,0.00390625,-0.0273438,0.015625,-0.0429688
-8955070562719184008,0.00390625,0.00390625,0.00390625,0.0117188,-0.0234375,-0.00390625
-8955070562711054008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,0.0351562
-8955070562702935008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955134987201522008,0.00390625,0.00390625,0.00390625,0.0117188,0.015625,-0.00390625
-8955134987191899008,0.00390625,0.00390625,0.00390625,0.0117188,-0.0234375,-0.0429688
-8955134987181919008,0.00390625,0.00390625,0.00390625,-0.0273438,0.015625,-0.00390625
